Código,Provincia,Municipio,Localidad,Tipo,Institución,Dirección,Teléfono,Horario,Más info,Correo Electrónico,Web,Latitud,Longitud
36,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,Salud,Hospital Local General Anita Elicagaray,Dr. José Astorghiari 200,(02983) 484452 / 484449,24 Hs.,Asistencia Interdisciplinaria,hospital@agrored.net.ar,https://regionsanitaria1.com/adolfo-gonzales-chaves.html,-38.036826,-60.102127
33,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,Seguridad,Comisaría de las Mujeres,Mar del Plata 134,(02983) 482406 / (02983) 15570534,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-38.0275632,-60.0950134999999
32,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,Seguridad,Comisaría N1,General Paz 287,(02983) 481297 / 481360,24 Hs.,Móvil / Derivación,,,-38.033333,-60.083333
37,Buenos Aires,Adolfo Gonzales Chaves,DE LA GARMA,Salud,"Unidad Sanitaria, Dr. Francisco Madueño",Víctor H. Barrera 208,(02983) 494092 / 494800,24 Hs.,Asistencia Interdisciplinaria,,https://regionsanitaria1.com/adolfo-gonzales-chaves.html,-37.9661633,-60.417327
8097,Buenos Aires,Alberti,ALBERTI,Áreas de Género y Diversidad,Dirección de Derechos Humanos y Políticas de Género y Diversidad,Avenida Libertador General San Martín s/n y Colombia,(02346) 514926,Lunes a Viernes de 7 a 14 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,generoalberti@gmail.com,,-35.02774,-60.27926
41,Buenos Aires,Alberti,ALBERTI,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes",Vergara 309,(02346) 471124,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-35.029001,-60.284696
40,Buenos Aires,Alberti,ALBERTI,Legal,Juzgado de Paz,Moreno 36,(02346) 470350,Lunes a Viernes de 8 a 14 Hs.,Denuncias / Medidas Preventivas,,,-35.032155,-60.2780030999999
42,Buenos Aires,Alberti,ALBERTI,Salud,Centro Médico Alberti,Rivadavia 68,(02346) 471800,24 Hs.,Asistencia Interdisciplinaria,centromedicoalberti@intercal.com.ar,,-35.0344336,-60.2803676
43,Buenos Aires,Alberti,ALBERTI,Salud,Hospital Nuestra Señora de la Mercedes,General Arias 326,(02346) 470142,24 Hs.,Asistencia Interdisciplinaria,,,-35.0337334,-60.278553
38,Buenos Aires,Alberti,ALBERTI,Seguridad,Comisaría,"Alem 298, esquina Chacabuco",(02346) 470114 / 471337,24 Hs.,Denuncias,,,-35.0314722903083,-60.280373096466
39,Buenos Aires,Alberti,ALBERTI,Seguridad,Comisaría de las Mujeres,"Alem s/n, esquina Chacabuco",(02346) 470026,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-35.0294212,-60.2824735
8641,Buenos Aires,Almirante Brown,ADROGUE,Áreas de Género y Diversidad,Dirección de Diversidad y Género,"Esteban Adrogué 1224, Piso 1",(011) 1550549172 / (011) 50346200 (Interno: 532),Lunes a Viernes de 9:30 a 12:30 Hs.,Asistencia Interdisciplinaria,diversidaddegenerosbrown@gmail.com,,-34.79823,-58.390302
45,Buenos Aires,Almirante Brown,ADROGUE,Áreas de Género y Diversidad,"Subsecretaría de Familia, Género y Políticas Sociales",Erezcano 1252,(011) 50346200 (Interno: 438),Lunes a Viernes de 9 a 14 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,,,-34.799402,-58.3796868
48,Buenos Aires,Almirante Brown,ADROGUE,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes","Cerreti 976, Piso 1",(011) 50346200 (Interno: 662),Lunes a Viernes de 8 a 16 Hs.,Asistencia Interdisciplinaria,,,-34.828623,-58.393334
47,Buenos Aires,Almirante Brown,ADROGUE,Legal,Juzgado de Paz,Bynon 1732,(011) 42940404 / 42930270,Lunes a Viernes de 13 a 19 Hs.,Denuncias / Medidas Preventivas,,,-34.796065,-58.386033
50,Buenos Aires,Almirante Brown,ADROGUE,Salud,Hospital Zonal General de Agudos Dr. Lucio Meléndez,"Presidente Perón 859, Ex Gorriti",(011) 42945555 / 9512 / 1313,24 Hs.,Asistencia Interdisciplinaria,direccion-melendez@ms.gba.gov.ar,,-34.81188,-58.38655
46,Buenos Aires,Almirante Brown,ADROGUE,Seguridad,Comisaría N1,Diagonal Toll 1580,(011) 42146115 / 42941516 / 21082991,24 Hs.,Denuncias / Móvil / Derivación,comisaria1raab@gmail.com,,-34.7983500718319,-58.3848544576703
51,Buenos Aires,Almirante Brown,BURZACO,Áreas de Género y Diversidad,Dirección General de Fortalecimiento Familiar,"Cerreti 2299, esquina España",(011) 50346241 / (011) 1535729737,Martes a Jueves de 10 a 17 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,,,-34.81219,-58.375957
57,Buenos Aires,Almirante Brown,BURZACO,Legal,"Centro de Acceso a la Justicia, CAJ",Roca 983,(011) 42381380 / (011) 26396197 WP,Lunes a Viernes de 9 a 15 Hs.,Patrocinio Jurídico / Asistencia Interdisciplinaria,cajaltebrown@gmail.com,https://www.argentina.gob.ar/justicia/afianzar/caj/listado,-34.821852,-58.392298
58,Buenos Aires,Almirante Brown,BURZACO,Otra,Delegación Ministerio de Trabajo Provincia de Buenos Aires,Avenida Roca 1222,(011) 42384489 / 4695,Lunes a Viernes de 8 a 13 Hs. y de 16 a 20 Hs.,Asesoramiento en Violencia Laboral,,,-34.821489,-58.392426
44,Buenos Aires,Almirante Brown,BURZACO,Salud,Hospital Subzonal Especializado en Rehabilitación Dr. José María Jorge,"Presidente Perón 800, Ex Gorriti 300",(011) 42948100 / 42948309 / 42941384 (Interno: 113),24 Hs.,Asistencia Interdisciplinaria,,https://hospitaljorge.wixsite.com/hospitaljorge,-34.8118164336074,-58.3857637030555
53,Buenos Aires,Almirante Brown,BURZACO,Seguridad,Comisaría de las Mujeres y la Familia,Andrade 98 y Quintana,(011) 42388555 / 42389761,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-34.82081,-58.388079
52,Buenos Aires,Almirante Brown,BURZACO,Seguridad,Comisaría N2,Avenida Espora 2300,(011) 21093942,24 Hs.,Móvil / Derivación,,,-34.817532,-58.389113
59,Buenos Aires,Almirante Brown,CLAYPOLE,Otra,"Centro Integrador Comunitario, CIC, Don Orione","Eva Perón s/n, esquina Carcarañás",(011) 42681679,Lunes a Viernes de 8 a 16 Hs.,Servicio Social,,,-34.818149,-58.347339
60,Buenos Aires,Almirante Brown,CLAYPOLE,Seguridad,Comisaría N6,Bollini 650,(011) 20973234,24 Hs.,Móvil / Derivación,,,-34.798622,-58.335042
61,Buenos Aires,Almirante Brown,CLAYPOLE,Seguridad,Comisaría N8,"Calle 7, Manzana D, Casa 13, Barrio Don Orione",(011) 42685104 / 42687732,24 Hs.,Móvil / Derivación,,,-34.806242,-58.336226
62,Buenos Aires,Almirante Brown,GLEW,Seguridad,Comisaría N7,"Alem s/n, esquina Sarmiento",(0222) 4420685 / 4422283,24 Hs.,Denuncias,,,-34.8925136620475,-58.3887720108032
63,Buenos Aires,Almirante Brown,JOSE MARMOL,Seguridad,Comisaría N9,Bynon 3137,(011) 42196435 / 42196413,24 Hs.,Móvil / Derivación,,,-34.785408,-58.366921
65,Buenos Aires,Almirante Brown,LONGCHAMPS,Seguridad,Comisaría N4,Aviación 461,(011) 21215402 / 42970333 / 42335608,24 Hs.,Móvil / Derivación,,,-34.85612,-58.388338
68,Buenos Aires,Almirante Brown,RAFAEL CALZADA,Salud,Hospital Zonal General de Agudos Dr. Arturo Oñativia,Ramón Carillo 1339,(011) 42195040 / 42195045 / 42195046,24 Hs.,Asistencia Interdisciplinaria,,,-34.7862006,-58.3516372
67,Buenos Aires,Almirante Brown,RAFAEL CALZADA,Seguridad,Comisaría N5,"Agüero s/n, esquina Dardo Rocha",(011) 42911444,24 Hs.,Denuncias,,,-34.7982178,-58.3563428999999
8405,Buenos Aires,Almirante Brown,SAN FRANCISCO SOLANO,Seguridad,Comisaría N10,Margarita 711,(011) 42771000,24 Hs.,Móvil / Derivación,,,-34.7878035142512,-58.3197464566329
1523,Buenos Aires,Almirante Brown,SAN FRANCISCO SOLANO,Seguridad,Comisaría N10,Margarita 711,(011) 42775998,24 Hs.,Móvil / Derivación,ad10sfsolano@hotmail.com,,-34.78778,-58.32044
69,Buenos Aires,Almirante Brown,SAN JOSE,Seguridad,Comisaría N3,Divisoria 4254,(011) 42911619 / 42193598,24 Hs.,Móvil / Derivación,,,-34.76737719,-58.34327714
71,Buenos Aires,Arrecifes,ARRECIFES,Áreas de Género y Diversidad,Dirección de Género y Diversidad,Euskalerria 759,(02478) 455904 / (02478) 15470306 (WP y 24Hs.),Lunes a Viernes de 8 a 13 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,direcciondegeneroarrecifes@gmail.com,,-34.0638771,-60.1034889
78,Buenos Aires,Arrecifes,ARRECIFES,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes",Ramón Lorenzo 35,(02478) 453589,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,servicioarrecifes@gmail.com,,-34.0679472781347,-60.1086044311523
76,Buenos Aires,Arrecifes,ARRECIFES,Legal,Ayudantía Fiscal,Rivadavia 173,(02478) 451879,Lunes a Viernes de 8 a 13 Hs.,Denuncias / Organismo de Competencia Jurídica,ayudantiafiscalarrecifes.sn@mpba.gov.ar,https://www.mpba.gov.ar/denuncia,-34.067389,-60.107553
77,Buenos Aires,Arrecifes,ARRECIFES,Legal,Juzgado de Paz,Gerardo Rizo 241,(02478) 452241,Lunes a Viernes de 8 a 13 Hs.,Denuncias / Medidas Preventivas,,,-34.0674041,-60.1075771
73,Buenos Aires,Arrecifes,ARRECIFES,Otra,"Centro de Referencia, CDR","Panamá 352, entre Perú y Brasil, Barrio la Cumbre",(02478) 450204 / 450304,Lunes a Viernes de 8 a 16 Hs.,Oficina del Ministerio de Desarrollo Social de la Nación,,,-34.074759,-60.091358
72,Buenos Aires,Arrecifes,ARRECIFES,Otra,"Dirección Minoridad, Familia y Tercera Edad, Acción Social",Euskalerria 759,(02478) 451323,Lunes a Viernes de 7 a 15 Hs.,Servicio Social,,,-34.066977,-60.110538
70,Buenos Aires,Arrecifes,ARRECIFES,Salud,Centro Provincial de Atención,Ramón Lorenzo 35,(02478) 455639,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-34.0638771,-60.1034889
79,Buenos Aires,Arrecifes,ARRECIFES,Salud,Hospital Santa Francisca Romana,Avenida Merlassino 791,(02478) 451327 / 451319,24 Hs.,Asistencia Interdisciplinaria,"hsfrarrecife@hotmail.com, hospitalarrecifes@gmail.com",,-34.0638778,-60.1034887
74,Buenos Aires,Arrecifes,ARRECIFES,Seguridad,Comisaría,Saavedra 226,(02478) 452521,24 Hs.,Móvil / Derivación,,,-34.0674673524702,-60.1088190078735
75,Buenos Aires,Arrecifes,ARRECIFES,Seguridad,Comisaría de las Mujeres,Urquiza 230,(02478) 451073,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-34.069087,-60.100003
80,Buenos Aires,Avellaneda,AVELLANEDA,Áreas de Género y Diversidad,"Área de Prevención y Atención de la Violencia y el Abuso Sexual, APAVyAS",Zeballos 2527,(011) 42058761,Lunes a Viernes de 8 a 20 Hs.,Asistencia Interdisciplinaria,,,-34.674079,-58.348798
87,Buenos Aires,Avellaneda,AVELLANEDA,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes",Colón 818,(011) 42015053 / (011) 1554261618,Lunes a Viernes de 9 a 13 Hs.,Asistencia Interdisciplinaria,,,-34.666656,-58.368107
294,Buenos Aires,Avellaneda,AVELLANEDA,Legal,"Centro de Acceso a la Justicia, CAJ",Avenida Mitre 1731,(011) 65827135,Lunes a Viernes de 9 a 13 Hs.,Asistencia Interdisciplinaria,cajusticia.avellaneda@gmail.com,https://www.argentina.gob.ar/justicia/afianzar/caj/listado,-34.6677600540875,-58.3562363797404
86,Buenos Aires,Avellaneda,AVELLANEDA,Legal,Defensoría del Pueblo de avellaneda,General Lavalle 355,0800-333-6767 / (011) 42228226 / 42277184 / 42277110,Lunes a Viernes de 8 a 13 Hs.,Denuncias Violencia Obstétrica / Asesoramiento Jurídico,partorespetado@defensor.gov.ar,,-34.665403,-58.359447
85,Buenos Aires,Avellaneda,AVELLANEDA,Legal,Juzgado de Familia N1 y N2,Avenida Mitre 2615,(011) 42052705 / 42045287 (Interno: Juzgado 1: 110 / Juzgado 2: 210),Lunes a Viernes de 8 a 20 Hs.,Organismo de Competencia Jurídica,,,-34.6779273,-58.3490137
8984,Buenos Aires,Avellaneda,AVELLANEDA,Salud,Centro Municipal de Cuidado Familiar y Comunitario Villa azul,Ramón Franco 6500,(011) 20041009,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-34.699059,-58.308322
89,Buenos Aires,Avellaneda,AVELLANEDA,Salud,Hospital Interzonal General de Agudos Dr. Pedro Fiorito,Avenida Belgrano 851,(011) 42013081 / 87,24 Hs.,Asistencia Interdisciplinaria,,,-34.665621,-58.3656452
90,Buenos Aires,Avellaneda,AVELLANEDA,Salud,Hospital Materno Infantil Ana Goitia,Vicente López 1737,(011) 42049085 / 42048451 (Interno: 204 / 228),24 Hs.,Asistencia Interdisciplinaria,,,-34.66637,-58.35119
8981,Buenos Aires,Avellaneda,AVELLANEDA,Salud,"Unidad Sanitaria, N2",Mazzini 1325,(011) 42059633,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-34.649501,-58.345884
84,Buenos Aires,Avellaneda,AVELLANEDA,Seguridad,Comisaría de las Mujeres,"Colón 167, entre Pavón y Maipú",(011) 42220005,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-34.6614411,-58.3724885
82,Buenos Aires,Avellaneda,AVELLANEDA,Seguridad,Comisaría N1,Lavalle 158,(011) 42222929 / 42220106 / 21086348,24 Hs.,Denuncias,,,-34.6640605,-58.3680752
83,Buenos Aires,Avellaneda,AVELLANEDA,Seguridad,Comisaría N2,Giribone 495,(011) 21298814 / 42019131/ 42220149,24 Hs.,Móvil / Derivación,,,-34.6618224,-58.3779326
1540,Buenos Aires,Avellaneda,AVELLANEDA,Seguridad,Descentralizada Auditoría General de Asuntos Internos,9 de Julio 331,0800-999-8358,Lunes a Viernes de 8 a 20 Hs.,Denuncias / Asuntos Internos,denunciasai@mseg.gba.gov.ar,https://seguridad.gba.gob.ar,-34.6661458,-58.3676371
8116,Buenos Aires,Avellaneda,DOCK SUD,Legal,"Acceso a la Justicia, Atajo Móvil, MPF",25 de Mayo s/n y Pasaje Figueroa Alcorta,(011) 42224674 / 1540279188,Lunes a Viernes de 9 a 15 Hs.,Asistencia Interdisciplinaria,,https://www.mpf.gob.ar/atajo/mapa-de-atajos,-34.653746136937,-58.3514977161414
91,Buenos Aires,Avellaneda,DOCK SUD,Seguridad,Comisaría N3,De Benedetti 1802,(011) 42036706,24 Hs.,Móvil / Derivación,,,-34.6554446,-58.3437188
8406,Buenos Aires,Avellaneda,GERLI,Seguridad,Comisaría N6,Carabelas 1151,(011) 42044444 / 42036774,24 Hs.,Móvil / Derivación,operacionesavellanedasexta@gmail.com,,-34.68718,-58.37244
92,Buenos Aires,Avellaneda,PIÑEYRO,Salud,Centro Provincial de Atención en Adicciones,Conesa 1813,(011) 42287769 / 42186240,Lunes a Viernes de 7 a 14 Hs.,Asistencia Interdisciplinaria,,,-34.6671114,-58.3984694
81,Buenos Aires,Avellaneda,SARANDI,Áreas de Género y Diversidad,Secretaría de Mujeres Géneros y Diversidad,Avenida Mitre 3043,(011) 42035879 / (011) 1535379010 (WP),Lunes a Viernes de 8 a 14 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,subsemgd@mda.gob.ar,,-34.6801044030439,-58.3451900635333
95,Buenos Aires,Avellaneda,SARANDI,Legal,Defensoría Descentralizada,Avenida Mitre 2615,(011) 42654792 / 97,Lunes a Viernes de 7 a 13 Hs.,Asesoramiento Jurídico,,,-34.675974,-58.348479
96,Buenos Aires,Avellaneda,SARANDI,Legal,"Unidad Fiscal N2 Especializada en Delitos Contra la Integridad Sexual, Delitos Informáticos, Violencia Familiar y Género",Avenida Mitre 2615,(011) 42654790 (Interno: 1012 / 1014 / 1013),Lunes a Viernes de 7 a 13 Hs.,Denuncias / Organismo de Competencia Jurídica,,,-34.676515,-58.349481
98,Buenos Aires,Avellaneda,SARANDI,Otra,Delegación Ministerio de Trabajo Provincia de Buenos Aires,Avenida Mitre 2718,(011) 42055514 / 42031547 / 42031454,Lunes a Viernes de 8:30 a 14 Hs.,Asesoramiento en Violencia Laboral,,,-34.6778312,-58.3474162
97,Buenos Aires,Avellaneda,SARANDI,Salud,Hospital Interzonal General de Agudos Presidente Perón,"Anatole France 773, entre Cordero y Villegas",(011) 4204133 / 42041021 / 42038010,24 Hs.,Asistencia Interdisciplinaria,,,-34.6817047,-58.3578009
93,Buenos Aires,Avellaneda,SARANDI,Salud,"Instituto Municipal de Prevención y Asistencia a las Adicciones, IMPA,",Zeballos 2527,(011) 42058761 / 42055633,Lunes a Viernes de 8 a 16 Hs.,Asistencia Interdisciplinaria,,,-34.6740616,-58.3487873999999
94,Buenos Aires,Avellaneda,SARANDI,Seguridad,Comisaría N4,"Avenida Bartolomé Mitre 3581, esquina Luján",(011) 42077809,24 Hs.,Móvil / Derivación,,,-34.6858633,-58.3413093
155,Buenos Aires,Avellaneda,VILLA DOMINICO,Legal,"Centro de Acceso a la Justicia, CAJ",Avenida Centenario Uruguayo 35,(011) 20584330,Lunes a Viernes de 9 a 15 Hs.,Asistencia Interdisciplinaria,centrodeaccesoavellaneda@gmail.com,https://www.argentina.gob.ar/justicia/afianzar/caj/listado,-34.7065007306351,-58.3450017838572
8983,Buenos Aires,Avellaneda,VILLA DOMINICO,Salud,"Unidad Sanitaria, N1, Centro Municipal de Cuidado Familiar y Comunitario","Pierres s/n y Casacuberta, Villa Corina",(011) 42070046,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-34.703786,-58.345784
